TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/01/13
TIME,11:32:07
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,2
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -1.1084
LASTX, 3174.8916
NPOINTS,    1589
FIRSTY,   365.89999
MAXY,  9453.14941
MINY,   303.58337
XYDATA
316.8916,372.327
318.8916,369.905
320.8916,372.434
322.8916,368.788
324.8916,366.873
326.8916,370.057
328.8916,370.038
330.8916,373.773
332.8916,373.87
334.8916,372.956
336.8916,377.143
338.8916,381.859
340.8916,384.092
342.8916,384.961
344.8916,386.787
346.8916,389.498
348.8916,390.417
350.8916,390.623
352.8916,388.952
354.8916,386.072
356.8916,384.528
358.8916,382.133
360.8916,377.571
362.8916,372.493
364.8916,370.041
366.8916,371.934
368.8916,375.955
370.8916,376.304
372.8916,376.313
374.8916,379.393
376.8916,379.726
378.8916,382.855
380.8916,386.542
382.8916,388.822
384.8916,392.204
386.8916,398.228
388.8916,407.391
390.8916,420.915
392.8916,449.81
394.8916,550.429
396.8916,882.446
398.8916,1659.97
400.8916,2323.62
402.8916,2479.32
404.8916,2470.26
406.8916,2526.49
408.8916,2506.02
410.8916,2142.44
412.8916,1414.03
414.8916,703.464
416.8916,468.711
418.8916,435.126
420.8916,408.237
422.8916,402.02
424.8916,393.746
426.8916,390.518
428.8916,390.683
430.8916,391.914
432.8916,391.395
434.8916,386.354
436.8916,387.333
438.8916,389.134
440.8916,387.886
442.8916,389.546
444.8916,402.61
446.8916,437.196
448.8916,546.452
450.8916,676.579
452.8916,733.58
454.8916,729.19
456.8916,738.293
458.8916,727.29
460.8916,651.025
462.8916,524.337
464.8916,414.175
466.8916,378.606
468.8916,369.056
470.8916,361.913
472.8916,363.314
474.8916,363.047
476.8916,361.974
478.8916,366.441
480.8916,369.5
482.8916,369.634
484.8916,376.824
486.8916,387.035
488.8916,406.358
490.8916,431.675
492.8916,464.589
494.8916,522.296
496.8916,608.864
498.8916,666.105
500.8916,676.244
502.8916,663.77
504.8916,649.488
506.8916,619.236
508.8916,539.833
510.8916,445.698
512.8916,389.64
514.8916,378.418
516.8916,377.447
518.8916,384.066
520.8916,397.432
522.8916,407.382
524.8916,408.1
526.8916,406.301
528.8916,405.832
530.8916,403.552
532.8916,391.519
534.8916,376.414
536.8916,371.135
538.8916,366.587
540.8916,364.82
542.8916,363.612
544.8916,361.959
546.8916,360.613
548.8916,357.184
550.8916,355.142
552.8916,355.872
554.8916,358.681
556.8916,362.465
558.8916,364.479
560.8916,361.61
562.8916,366.713
564.8916,373.445
566.8916,375.934
568.8916,382.629
570.8916,397.722
572.8916,412.795
574.8916,425.74
576.8916,445.849
578.8916,488.459
580.8916,594.998
582.8916,914.933
584.8916,1739.26
586.8916,2689.81
588.8916,3239.49
590.8916,3400.34
592.8916,3466.53
594.8916,3074.68
596.8916,2054.6
598.8916,1027.82
600.8916,550.044
602.8916,431.281
604.8916,395.887
606.8916,379.817
608.8916,370.221
610.8916,364.345
612.8916,362.12
614.8916,355.541
616.8916,355.575
618.8916,351.327
620.8916,347.182
622.8916,347.144
624.8916,346.035
626.8916,347.73
628.8916,345.265
630.8916,344.841
632.8916,344.658
634.8916,340.929
636.8916,339.201
638.8916,341.409
640.8916,343.54
642.8916,343.213
644.8916,343.552
646.8916,344.107
648.8916,341.145
650.8916,342.042
652.8916,341.806
654.8916,341.602
656.8916,342.541
658.8916,341.262
660.8916,337.892
662.8916,338.427
664.8916,338.568
666.8916,339.423
668.8916,340.554
670.8916,340.124
672.8916,341.459
674.8916,342.907
676.8916,340.55
678.8916,339.2
680.8916,339.567
