TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/01/13
TIME,10:38:12
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,2
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -1.1084
LASTX, 3174.8916
NPOINTS,    1589
FIRSTY,   310.39999
MAXY,  1459.59705
MINY,   301.59540
XYDATA
322.8916,322.895
324.8916,323.527
326.8916,322.743
328.8916,321.892
330.8916,320.743
332.8916,319.796
334.8916,321.707
336.8916,323.787
338.8916,320.137
340.8916,321.465
342.8916,322.699
344.8916,322.158
346.8916,323.799
348.8916,323.685
350.8916,322.52
352.8916,321.19
354.8916,320.632
356.8916,321.436
358.8916,321.914
360.8916,322.087
362.8916,320.829
364.8916,319.289
366.8916,320.739
368.8916,321.77
370.8916,321.203
372.8916,320.499
374.8916,320.489
376.8916,320.173
378.8916,320.799
380.8916,321.436
382.8916,322.436
384.8916,323.399
386.8916,320.904
388.8916,321.191
390.8916,322.03
392.8916,321.83
394.8916,323.873
396.8916,328.357
398.8916,340.708
400.8916,357.661
402.8916,371.038
404.8916,383.107
406.8916,408.151
408.8916,419.115
410.8916,397.313
412.8916,359.311
414.8916,335.038
416.8916,323.033
418.8916,322.529
420.8916,324.015
422.8916,322.403
424.8916,324.077
426.8916,323.241
428.8916,321.342
430.8916,320.992
432.8916,321.649
434.8916,321.424
436.8916,320.401
438.8916,320.87
440.8916,321.686
442.8916,321.262
444.8916,321.752
446.8916,324.484
448.8916,328.248
450.8916,334.368
452.8916,340.166
454.8916,340.037
456.8916,343.94
458.8916,347.063
460.8916,342.131
462.8916,331.818
464.8916,324.738
466.8916,320.659
468.8916,320.484
470.8916,321.96
472.8916,322.006
474.8916,320.829
476.8916,320.218
478.8916,323.224
480.8916,323.706
482.8916,320.061
484.8916,319.926
486.8916,321.465
488.8916,323.844
490.8916,327.284
492.8916,329.215
494.8916,329.703
496.8916,336.848
498.8916,341.299
500.8916,341.754
502.8916,340.789
504.8916,341.41
506.8916,346.872
508.8916,339.921
510.8916,330.321
512.8916,324.986
514.8916,321.826
516.8916,324.152
518.8916,321.575
520.8916,321.576
522.8916,325.687
524.8916,327.249
526.8916,326.256
528.8916,328.592
530.8916,329.863
532.8916,328.799
534.8916,326.396
536.8916,323.61
538.8916,323.822
540.8916,322.631
542.8916,322.168
544.8916,323.222
546.8916,322.685
548.8916,321.071
550.8916,321.739
552.8916,321.504
554.8916,320.213
556.8916,320.33
558.8916,321.88
560.8916,323.793
562.8916,323.07
564.8916,324.01
566.8916,326.195
568.8916,325.596
570.8916,326.645
572.8916,328.065
574.8916,331.259
576.8916,335.61
578.8916,342.623
580.8916,356.961
582.8916,389.09
584.8916,509.267
586.8916,696.729
588.8916,874.136
590.8916,1039.75
592.8916,1215.33
594.8916,1144.49
596.8916,836.385
598.8916,528.88
600.8916,380.855
602.8916,343.057
604.8916,333.335
606.8916,327.758
608.8916,325.05
610.8916,324.469
612.8916,323.111
614.8916,320.495
616.8916,321.014
618.8916,319.519
620.8916,319.658
622.8916,321.924
624.8916,321.626
626.8916,322.929
628.8916,321.691
630.8916,318.341
632.8916,318.182
634.8916,320.373
636.8916,319.196
638.8916,318.039
640.8916,318.529
642.8916,319.544
644.8916,319.264
646.8916,318.962
648.8916,320.118
650.8916,318.356
652.8916,320.137
654.8916,319.228
656.8916,317.996
658.8916,321.131
660.8916,320.289
662.8916,319.188
664.8916,317.949
666.8916,318.062
668.8916,318.08
670.8916,317.009
672.8916,318.142
674.8916,318.463
676.8916,320.701
678.8916,320.65
680.8916,319.102
682.8916,319.673
684.8916,318.225
686.8916,317.062
688.8916,318.078
